Human
Human General,This general is the best general in the world,g,2,3,4,1,null,50

Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Pile of Cash,Let's buy some real guns,w,0,0,0,2,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Poor F*** Infantry,It ain't much but it's honest work,t,0,1,0,0,null,2

Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null



Bogo
General RoboCop,EX-TER-MI-NA-TE!,g,2,3,4,1,null,50

Kalashnikov,The weapon of revolution,w,0,2,0,0,null
Spare Cash,One hryvnia adds to another...,w,0,0,0,1,null
Pile of Cash,Let's buy some real guns,w,0,0,0,2,null
Oh no,this save ends way too early as the rest of players decks are missing,w,666,666,666,666,sacrifice
